CSE24001, Priya Verma, CSE, 1, A
CSE24055, Esha Gupta, CSE, 3, A
CSE24056, Isha Kapoor, CSE, 4, B
CSE24057, Qasim Bose, CSE, 1, A
CSE24058, Isha Patel, CSE, 2, B
CSE24059, Kavya Iyer, CSE, 3, A
CSE24060, Waseem Prasad, CSE, 4, B
ECE-24-001, Asha Singh, ECE, 1, A
ECE-24-002, Qasim Bose, ECE, 2, B
ECE-24-003, Xena Kapoor, ECE, 3, A
ECE-24-004, Priya Shah, ECE, 4, B
ECE-24-005, Esha Rao, ECE, 1, A
ECE-24-006, Sahil Singh, ECE, 2, B
ECE-24-007, Hari Ali, ECE, 3, A
ECE-24-008, Isha Rao, ECE, 4, B
ECE-24-009, Farhan Sharma, ECE, 1, A
ECE-24-010, Om Sharma, ECE, 2, B
ECE-24-011, Esha Menon, ECE, 3, A
ECE-24-012, Om Ali, ECE, 4, B
ECE-24-013, Kavya Verma, ECE, 1, A
ECE-24-014, Kavya Gupta, ECE, 2, B
ECE-24-015, Kavya Nair, ECE, 3, A
ECE-24-016, Xena Nair, ECE, 4, B
ECE-24-017, Meera Joshi, ECE, 1, A
ECE-24-018, Om Kumar, ECE, 2, B
ECE-24-019, Gita Nair, ECE, 3, A
ECE-24-020, Hari Nair, ECE, 4, B
ECE-24-021, Riya Kapoor, ECE, 1, A
ECE-24-022, Esha Gupta, ECE, 2, B
ECE-24-023, Isha Iyer, ECE, 3, A
ECE-24-024, Isha Rao, ECE, 4, B
ECE-24-025, Priya Kapoor, ECE, 1, A
ECE-24-026, Meera Prasad, ECE, 2, B
ECE-24-027, Sahil Pillai, ECE, 3, A
ECE-24-028, Vidya Verma, ECE, 4, B
ECE-24-029, Esha Bose, ECE, 1, A
ECE-24-030, Nikhil Das, ECE, 2, B
ECE-24-031, Xena Shah, ECE, 3, A
ECE-24-032, Divya Joshi, ECE, 4, B
ECE-24-033, Uday Kapoor, ECE, 1, A
ECE-24-034, Kavya Reddy, ECE, 2, B
ECE-24-035, Zara Shah, ECE, 3, A
ECE-24-036, Waseem Das, ECE, 4, B
ECE-24-037, Tara Khan, ECE, 1, A
ECE-24-038, Bilal Menon, ECE, 2, B
ECE-24-039, Nikhil Gupta, ECE, 3, A
ECE-24-040, Tara Sharma, ECE, 4, B
ECE-24-041, Vidya Joshi, ECE, 1, A
ECE-24-042, Vidya Bose, ECE, 2, B
ECE-24-043, Priya Prasad, ECE, 3, A
ECE-24-044, Lalit Bose, ECE, 4, B
ECE-24-045, Riya Nair, ECE, 1, A
ECE-24-046, Yash Joshi, ECE, 2, B
ECE-24-047, Isha Das, ECE, 3, A
ECE-24-048, Divya Prasad, ECE, 4, B
ECE-24-049, Asha Khan, ECE, 1, A
ECE-24-050, Qasim Singh, ECE, 2, B
ECE-24-051, Yash Bose, ECE, 3, A
ECE-24-052, Meera Singh, ECE, 4, B
ECE-24-053, Divya Ali, ECE, 1, A
ECE-24-054, Divya Rao, ECE, 2, B
ECE-24-055, Hari Verma, ECE, 3, A
ECE-24-056, Om Singh, ECE, 4, B
ECE-24-057, Uday Patel, ECE, 1, A
ECE-24-058, Farhan Gupta, ECE, 2, B
ECE-24-059, Nikhil Verma, ECE, 3, A
ECE-24-060, Meera Shah, ECE, 4, B
24MECH001, Lalit Nair, MECH, 1, A
24MECH002, Hari Iyer, MECH, 2, B
24MECH003, Nikhil Ali, MECH, 3, A
24MECH004, Nikhil Reddy, MECH, 4, B
24MECH005, Qasim Verma, MECH, 1, A
24MECH006, Divya Rao, MECH, 2, B
24MECH007, Divya Pillai, MECH, 3, A
24MECH008, Bilal Bose, MECH, 4, B
24MECH009, Lalit Reddy, MECH, 1, A
24MECH010, Chetan Das, MECH, 2, B
24MECH011, Bilal Prasad, MECH, 3, A
24MECH012, Farhan Singh, MECH, 4, B
24MECH013, Om Khan, MECH, 1, A
24MECH014, Zara Patel, MECH, 2, B
24MECH015, Riya Patel, MECH, 3, A
24MECH016, Om Das, MECH, 4, B
24MECH017, Nikhil Menon, MECH, 1, A
24MECH018, Chetan Khan, MECH, 2, B
24MECH019, Bilal Ali, MECH, 3, A
24MECH020, Riya Gupta, MECH, 4, B
24MECH021, Om Sharma, MECH, 1, A
24MECH022, Asha Prasad, MECH, 2, B
24MECH023, Isha Ali, MECH, 3, A
24MECH024, Vidya Reddy, MECH, 4, B
24MECH025, Farhan Pillai, MECH, 1, A
24MECH026, Yash Ali, MECH, 2, B
24MECH027, Nikhil Bose, MECH, 3, A
24MECH028, Yash Gupta, MECH, 4, B
24MECH029, Om Das, MECH, 1, A
24MECH030, Isha Shah, MECH, 2, B
24MECH031, Tara Reddy, MECH, 3, A
24MECH032, Riya Kumar, MECH, 4, B
24MECH033, Om Sharma, MECH, 1, A
24MECH034, Zara Patel, MECH, 2, B
24MECH035, Isha Joshi, MECH, 3, A
24MECH036, Riya Bose, MECH, 4, B
24MECH037, Kavya Bose, MECH, 1, A
24MECH038, Isha Bose, MECH, 2, B
24MECH039, Kavya Nair, MECH, 3, A
24MECH040, Nikhil Das, MECH, 4, B
24MECH041, Qasim Bose, MECH, 1, A
24MECH042, Riya Menon, MECH, 2, B
24MECH043, Hari Sharma, MECH, 3, A
24MECH044, Meera Ali, MECH, 4, B
24MECH045, Qasim Patel, MECH, 1, A
24MECH046, Tara Singh, MECH, 2, B
24MECH047, Esha Das, MECH, 3, A
24MECH048, Xena Reddy, MECH, 4, B
24MECH049, Meera Khan, MECH, 1, A
24MECH050, Meera Bose, MECH, 2, B
24MECH051, Riya Verma, MECH, 3, A
24MECH052, Lalit Joshi, MECH, 4, B
24MECH053, Sahil Reddy, MECH, 1, A
24MECH054, Bilal Menon, MECH, 2, B
24MECH055, Chetan Iyer, MECH, 3, A
24MECH056, Jatin Das, MECH, 4, B
24MECH057, Vidya Gupta, MECH, 1, A
24MECH058, Chetan Rao, MECH, 2, B
24MECH059, Hari Singh, MECH, 3, A
24MECH060, Hari Bose, MECH, 4, B
CIVIL-2024-001, Qasim Pillai, CIVIL, 1, A
CIVIL-2024-002, Xena Nair, CIVIL, 2, B
CIVIL-2024-003, Chetan Joshi, CIVIL, 3, A
CIVIL-2024-004, Gita Shah, CIVIL, 4, B
CIVIL-2024-005, Hari Ali, CIVIL, 1, A
CIVIL-2024-006, Sahil Reddy, CIVIL, 2, B
CIVIL-2024-007, Meera Kumar, CIVIL, 3, A
CIVIL-2024-008, Chetan Patel, CIVIL, 4, B
CIVIL-2024-009, Riya Pillai, CIVIL, 1, A
CIVIL-2024-010, Divya Khan, CIVIL, 2, B
CIVIL-2024-011, Asha Nair, CIVIL, 3, A
CIVIL-2024-012, Gita Kapoor, CIVIL, 4, B
CIVIL-2024-013, Zara Kumar, CIVIL, 1, A
CIVIL-2024-014, Vidya Nair, CIVIL, 2, B
CIVIL-2024-015, Qasim Rao, CIVIL, 3, A
CIVIL-2024-016, Tara Patel, CIVIL, 4, B
CIVIL-2024-017, Jatin Kapoor, CIVIL, 1, A
CIVIL-2024-018, Uday Reddy, CIVIL, 2, B
CIVIL-2024-019, Divya Khan, CIVIL, 3, A
CIVIL-2024-020, Uday Verma, CIVIL, 4, B
CIVIL-2024-021, Waseem Patel, CIVIL, 1, A
CIVIL-2024-022, Meera Sharma, CIVIL, 2, B
CIVIL-2024-023, Esha Iyer, CIVIL, 3, A
CIVIL-2024-024, Om Gupta, CIVIL, 4, B
CIVIL-2024-025, Farhan Patel, CIVIL, 1, A
CIVIL-2024-026, Gita Iyer, CIVIL, 2, B
CIVIL-2024-027, Riya Joshi, CIVIL, 3, A
CIVIL-2024-028, Om Kapoor, CIVIL, 4, B
CIVIL-2024-029, Xena Reddy, CIVIL, 1, A
CIVIL-2024-030, Tara Rao, CIVIL, 2, B
CIVIL-2024-031, Yash Kumar, CIVIL, 3, A
CIVIL-2024-032, Hari Rao, CIVIL, 4, B
CIVIL-2024-033, Isha Singh, CIVIL, 1, A
CIVIL-2024-034, Tara Ali, CIVIL, 2, B
CIVIL-2024-035, Waseem Shah, CIVIL, 3, A
CIVIL-2024-036, Esha Joshi, CIVIL, 4, B
CIVIL-2024-037, Nikhil Menon, CIVIL, 1, A
CIVIL-2024-038, Waseem Khan, CIVIL, 2, B
CIVIL-2024-039, Divya Sharma, CIVIL, 3, A
CIVIL-2024-040, Farhan Shah, CIVIL, 4, B
CIVIL-2024-041, Nikhil Joshi, CIVIL, 1, A
CIVIL-2024-042, Meera Gupta, CIVIL, 2, B
CIVIL-2024-043, Esha Sharma, CIVIL, 3, A
CIVIL-2024-044, Vidya Nair, CIVIL, 4, B
CIVIL-2024-045, Farhan Reddy, CIVIL, 1, A
CIVIL-2024-046, Tara Verma, CIVIL, 2, B
CIVIL-2024-047, Meera Ali, CIVIL, 3, A
CIVIL-2024-048, Meera Rao, CIVIL, 4, B
CIVIL-2024-049, Waseem Prasad, CIVIL, 1, A
CIVIL-2024-050, Lalit Ali, CIVIL, 2, B
CIVIL-2024-051, Nikhil Rao, CIVIL, 3, A
CIVIL-2024-052, Riya Khan, CIVIL, 4, B
CIVIL-2024-053, Xena Patel, CIVIL, 1, A
CIVIL-2024-054, Riya Das, CIVIL, 2, B
CIVIL-2024-055, Bilal Kumar, CIVIL, 3, A
CIVIL-2024-056, Om Shah, CIVIL, 4, B
CIVIL-2024-057, Nikhil Shah, CIVIL, 1, A
CIVIL-2024-058, Lalit Kumar, CIVIL, 2, B
CIVIL-2024-059, Asha Singh, CIVIL, 3, A
CIVIL-2024-060, Asha Gupta, CIVIL, 4, B
IT/24/001, Esha Prasad, IT, 1, A
IT/24/002, Sahil Pillai, IT, 2, B
IT/24/003, Hari Joshi, IT, 3, A
IT/24/004, Xena Shah, IT, 4, B
IT/24/005, Bilal Kumar, IT, 1, A
IT/24/006, Meera Verma, IT, 2, B
IT/24/007, Meera Patel, IT, 3, A
IT/24/008, Divya Singh, IT, 4, B
IT/24/009, Priya Pillai, IT, 1, A
IT/24/010, Vidya Shah, IT, 2, B
IT/24/011, Asha Pillai, IT, 3, A
IT/24/012, Bilal Reddy, IT, 4, B
IT/24/013, Meera Gupta, IT, 1, A
IT/24/014, Om Joshi, IT, 2, B
IT/24/015, Waseem Gupta, IT, 3, A
IT/24/016, Zara Sharma, IT, 4, B
IT/24/017, Zara Das, IT, 1, A
IT/24/018, Yash Das, IT, 2, B
IT/24/019, Esha Khan, IT, 3, A
IT/24/020, Zara Rao, IT, 4, B
IT/24/021, Meera Bose, IT, 1, A
IT/24/022, Riya Patel, IT, 2, B
IT/24/023, Isha Das, IT, 3, A
IT/24/024, Lalit Pillai, IT, 4, B
IT/24/025, Riya Ali, IT, 1, A
IT/24/026, Esha Prasad, IT, 2, B
IT/24/027, Sahil Khan, IT, 3, A
IT/24/028, Divya Kapoor, IT, 4, B
IT/24/029, Qasim Prasad, IT, 1, A
IT/24/030, Qasim Sharma, IT, 2, B
IT/24/031, Kavya Patel, IT, 3, A
IT/24/032, Tara Rao, IT, 4, B
IT/24/033, Riya Bose, IT, 1, A
IT/24/034, Gita Kumar, IT, 2, B
IT/24/035, Xena Shah, IT, 3, A
IT/24/036, Jatin Das, IT, 4, B
IT/24/037, Qasim Nair, IT, 1, A
IT/24/038, Meera Reddy, IT, 2, B
IT/24/039, Zara Menon, IT, 3, A
IT/24/040, Priya Khan, IT, 4, B
IT/24/041, Qasim Patel, IT, 1, A
IT/24/042, Lalit Kumar, IT, 2, B
IT/24/043, Vidya Prasad, IT, 3, A
IT/24/044, Priya Menon, IT, 4, B
IT/24/045, Zara Menon, IT, 1, A
IT/24/046, Riya Singh, IT, 2, B
IT/24/047, Om Reddy, IT, 3, A
IT/24/048, Qasim Bose, IT, 4, B
IT/24/049, Uday Rao, IT, 1, A
IT/24/050, Bilal Khan, IT, 2, B
IT/24/051, Xena Rao, IT, 3, A
IT/24/052, Asha Reddy, IT, 4, B
IT/24/053, Bilal Singh, IT, 1, A
IT/24/054, Qasim Rao, IT, 2, B
IT/24/055, Kavya Das, IT, 3, A
IT/24/056, Isha Menon, IT, 4, B
IT/24/057, Tara Gupta, IT, 1, A
IT/24/058, Bilal Joshi, IT, 2, B
IT/24/059, Priya Bose, IT, 3, A
IT/24/060, Priya Verma, IT, 4, B
