CSE24001, Priya Verma, CSE, 1, A
CSE24055, Esha Gupta, CSE, 3, A
CSE24056, Isha Kapoor, CSE, 4, B
CSE24057, Qasim Bose, CSE, 1, A
CSE24058, Isha Patel, CSE, 2, B
CSE24059, Kavya Iyer, CSE, 3, A
CSE24060, Waseem Prasad, CSE, 4, B
CSE24061, Asha Singh, CSE, 1, A
CSE24062, Qasim Bose, CSE, 2, B
CSE24063, Xena Kapoor, CSE, 3, A
CSE24064, Priya Shah, CSE, 4, B
CSE24065, Esha Rao, CSE, 1, A
CSE24066, Sahil Singh, CSE, 2, B
CSE24067, Hari Ali, CSE, 3, A
CSE24068, Isha Rao, CSE, 4, B
CSE24069, Farhan Sharma, CSE, 1, A
CSE24070, Om Sharma, CSE, 2, B
CSE24071, Esha Menon, CSE, 3, A
CSE24072, Om Ali, CSE, 4, B
CSE24073, Kavya Verma, CSE, 1, A
CSE24074, Kavya Gupta, CSE, 2, B
CSE24075, Kavya Nair, CSE, 3, A
CSE24076, Xena Nair, CSE, 4, B
CSE24077, Meera Joshi, CSE, 1, A
CSE24078, Om Kumar, CSE, 2, B
CSE24079, Gita Nair, CSE, 3, A
CSE24080, Hari Nair, CSE, 4, B
CSE24081, Riya Kapoor, CSE, 1, A
CSE24082, Esha Gupta, CSE, 2, B
CSE24083, Isha Iyer, CSE, 3, A
CSE24084, Isha Rao, CSE, 4, B
CSE24085, Priya Kapoor, CSE, 1, A
CSE24086, Meera Prasad, CSE, 2, B
CSE24087, Sahil Pillai, CSE, 3, A
CSE24088, Vidya Verma, CSE, 4, B
CSE24089, Esha Bose, CSE, 1, A
CSE24090, Nikhil Das, CSE, 2, B
CSE24091, Xena Shah, CSE, 3, A
CSE24092, Divya Joshi, CSE, 4, B
CSE24093, Uday Kapoor, CSE, 1, A
CSE24094, Kavya Reddy, CSE, 2, B
CSE24095, Zara Shah, CSE, 3, A
CSE24096, Waseem Das, CSE, 4, B
CSE24097, Tara Khan, CSE, 1, A
CSE24098, Bilal Menon, CSE, 2, B
CSE24099, Nikhil Gupta, CSE, 3, A
CSE24100, Tara Sharma, CSE, 4, B
CSE24101, Vidya Joshi, CSE, 1, A
CSE24102, Vidya Bose, CSE, 2, B
CSE24103, Priya Prasad, CSE, 3, A
CSE24104, Lalit Bose, CSE, 4, B
CSE24105, Riya Nair, CSE, 1, A
CSE24106, Yash Joshi, CSE, 2, B
CSE24107, Isha Das, CSE, 3, A
CSE24108, Divya Prasad, CSE, 4, B
CSE24109, Asha Khan, CSE, 1, A
CSE24110, Qasim Singh, CSE, 2, B
CSE24111, Yash Bose, CSE, 3, A
CSE24112, Meera Singh, CSE, 4, B
CSE24113, Divya Ali, CSE, 1, A
CSE24114, Divya Rao, CSE, 2, B
CSE24115, Hari Verma, CSE, 3, A
CSE24116, Om Singh, CSE, 4, B
CSE24117, Uday Patel, CSE, 1, A
CSE24118, Farhan Gupta, CSE, 2, B
CSE24119, Nikhil Verma, CSE, 3, A
CSE24120, Meera Shah, CSE, 4, B
CSE24121, Lalit Nair, CSE, 1, A
CSE24122, Hari Iyer, CSE, 2, B
CSE24123, Nikhil Ali, CSE, 3, A
CSE24124, Nikhil Reddy, CSE, 4, B
CSE24125, Qasim Verma, CSE, 1, A
CSE24126, Divya Rao, CSE, 2, B
CSE24127, Divya Pillai, CSE, 3, A
CSE24128, Bilal Bose, CSE, 4, B
CSE24129, Lalit Reddy, CSE, 1, A
CSE24130, Chetan Das, CSE, 2, B
CSE24131, Bilal Prasad, CSE, 3, A
CSE24132, Farhan Singh, CSE, 4, B
CSE24133, Om Khan, CSE, 1, A
CSE24134, Zara Patel, CSE, 2, B
CSE24135, Riya Patel, CSE, 3, A
CSE24136, Om Das, CSE, 4, B
CSE24137, Nikhil Menon, CSE, 1, A
CSE24138, Chetan Khan, CSE, 2, B
CSE24139, Bilal Ali, CSE, 3, A
CSE24140, Riya Gupta, CSE, 4, B
CSE24141, Om Sharma, CSE, 1, A
CSE24142, Asha Prasad, CSE, 2, B
CSE24143, Isha Ali, CSE, 3, A
CSE24144, Vidya Reddy, CSE, 4, B
CSE24145, Farhan Pillai, CSE, 1, A
CSE24146, Yash Ali, CSE, 2, B
CSE24147, Nikhil Bose, CSE, 3, A
CSE24148, Yash Gupta, CSE, 4, B
CSE24149, Om Das, CSE, 1, A
CSE24150, Isha Shah, CSE, 2, B
CSE24151, Tara Reddy, CSE, 3, A
CSE24152, Riya Kumar, CSE, 4, B
CSE24153, Om Sharma, CSE, 1, A
CSE24154, Zara Patel, CSE, 2, B
CSE24155, Isha Joshi, CSE, 3, A
CSE24156, Riya Bose, CSE, 4, B
CSE24157, Kavya Bose, CSE, 1, A
CSE24158, Isha Bose, CSE, 2, B
CSE24159, Kavya Nair, CSE, 3, A
CSE24160, Nikhil Das, CSE, 4, B
CSE24161, Qasim Bose, CSE, 1, A
CSE24162, Riya Menon, CSE, 2, B
CSE24163, Hari Sharma, CSE, 3, A
CSE24164, Meera Ali, CSE, 4, B
CSE24165, Qasim Patel, CSE, 1, A
CSE24166, Tara Singh, CSE, 2, B
CSE24167, Esha Das, CSE, 3, A
CSE24168, Xena Reddy, CSE, 4, B
CSE24169, Meera Khan, CSE, 1, A
CSE24170, Meera Bose, CSE, 2, B
CSE24171, Riya Verma, CSE, 3, A
CSE24172, Lalit Joshi, CSE, 4, B
CSE24173, Sahil Reddy, CSE, 1, A
CSE24174, Bilal Menon, CSE, 2, B
CSE24175, Chetan Iyer, CSE, 3, A
CSE24176, Jatin Das, CSE, 4, B
CSE24177, Vidya Gupta, CSE, 1, A
CSE24178, Chetan Rao, CSE, 2, B
CSE24179, Hari Singh, CSE, 3, A
CSE24180, Hari Bose, CSE, 4, B
CSE24181, Qasim Pillai, CSE, 1, A
CSE24182, Xena Nair, CSE, 2, B
CSE24183, Chetan Joshi, CSE, 3, A
CSE24184, Gita Shah, CSE, 4, B
CSE24185, Hari Ali, CSE, 1, A
CSE24186, Sahil Reddy, CSE, 2, B
CSE24187, Meera Kumar, CSE, 3, A
CSE24188, Chetan Patel, CSE, 4, B
CSE24189, Riya Pillai, CSE, 1, A
CSE24190, Divya Khan, CSE, 2, B
CSE24191, Asha Nair, CSE, 3, A
CSE24192, Gita Kapoor, CSE, 4, B
CSE24193, Zara Kumar, CSE, 1, A
CSE24194, Vidya Nair, CSE, 2, B
CSE24195, Qasim Rao, CSE, 3, A
CSE24196, Tara Patel, CSE, 4, B
CSE24197, Jatin Kapoor, CSE, 1, A
CSE24198, Uday Reddy, CSE, 2, B
CSE24199, Divya Khan, CSE, 3, A
CSE24200, Uday Verma, CSE, 4, B
ECE-24-001, Waseem Patel, ECE, 1, A
ECE-24-002, Meera Sharma, ECE, 2, B
ECE-24-003, Esha Iyer, ECE, 3, A
ECE-24-004, Om Gupta, ECE, 4, B
ECE-24-005, Farhan Patel, ECE, 1, A
ECE-24-006, Gita Iyer, ECE, 2, B
ECE-24-007, Riya Joshi, ECE, 3, A
ECE-24-008, Om Kapoor, ECE, 4, B
ECE-24-009, Xena Reddy, ECE, 1, A
ECE-24-010, Tara Rao, ECE, 2, B
ECE-24-011, Yash Kumar, ECE, 3, A
ECE-24-012, Hari Rao, ECE, 4, B
ECE-24-013, Isha Singh, ECE, 1, A
ECE-24-014, Tara Ali, ECE, 2, B
ECE-24-015, Waseem Shah, ECE, 3, A
ECE-24-016, Esha Joshi, ECE, 4, B
ECE-24-017, Nikhil Menon, ECE, 1, A
ECE-24-018, Waseem Khan, ECE, 2, B
ECE-24-019, Divya Sharma, ECE, 3, A
ECE-24-020, Farhan Shah, ECE, 4, B
ECE-24-021, Nikhil Joshi, ECE, 1, A
ECE-24-022, Meera Gupta, ECE, 2, B
ECE-24-023, Esha Sharma, ECE, 3, A
ECE-24-024, Vidya Nair, ECE, 4, B
ECE-24-025, Farhan Reddy, ECE, 1, A
ECE-24-026, Tara Verma, ECE, 2, B
ECE-24-027, Meera Ali, ECE, 3, A
ECE-24-028, Meera Rao, ECE, 4, B
ECE-24-029, Waseem Prasad, ECE, 1, A
ECE-24-030, Lalit Ali, ECE, 2, B
ECE-24-031, Nikhil Rao, ECE, 3, A
ECE-24-032, Riya Khan, ECE, 4, B
ECE-24-033, Xena Patel, ECE, 1, A
ECE-24-034, Riya Das, ECE, 2, B
ECE-24-035, Bilal Kumar, ECE, 3, A
ECE-24-036, Om Shah, ECE, 4, B
ECE-24-037, Nikhil Shah, ECE, 1, A
ECE-24-038, Lalit Kumar, ECE, 2, B
ECE-24-039, Asha Singh, ECE, 3, A
ECE-24-040, Asha Gupta, ECE, 4, B
ECE-24-041, Esha Prasad, ECE, 1, A
ECE-24-042, Sahil Pillai, ECE, 2, B
ECE-24-043, Hari Joshi, ECE, 3, A
ECE-24-044, Xena Shah, ECE, 4, B
ECE-24-045, Bilal Kumar, ECE, 1, A
ECE-24-046, Meera Verma, ECE, 2, B
ECE-24-047, Meera Patel, ECE, 3, A
ECE-24-048, Divya Singh, ECE, 4, B
ECE-24-049, Priya Pillai, ECE, 1, A
ECE-24-050, Vidya Shah, ECE, 2, B
ECE-24-051, Asha Pillai, ECE, 3, A
ECE-24-052, Bilal Reddy, ECE, 4, B
ECE-24-053, Meera Gupta, ECE, 1, A
ECE-24-054, Om Joshi, ECE, 2, B
ECE-24-055, Waseem Gupta, ECE, 3, A
ECE-24-056, Zara Sharma, ECE, 4, B
ECE-24-057, Zara Das, ECE, 1, A
ECE-24-058, Yash Das, ECE, 2, B
ECE-24-059, Esha Khan, ECE, 3, A
ECE-24-060, Zara Rao, ECE, 4, B
ECE-24-061, Meera Bose, ECE, 1, A
ECE-24-062, Riya Patel, ECE, 2, B
ECE-24-063, Isha Das, ECE, 3, A
ECE-24-064, Lalit Pillai, ECE, 4, B
ECE-24-065, Riya Ali, ECE, 1, A
ECE-24-066, Esha Prasad, ECE, 2, B
ECE-24-067, Sahil Khan, ECE, 3, A
ECE-24-068, Divya Kapoor, ECE, 4, B
ECE-24-069, Qasim Prasad, ECE, 1, A
ECE-24-070, Qasim Sharma, ECE, 2, B
ECE-24-071, Kavya Patel, ECE, 3, A
ECE-24-072, Tara Rao, ECE, 4, B
ECE-24-073, Riya Bose, ECE, 1, A
ECE-24-074, Gita Kumar, ECE, 2, B
ECE-24-075, Xena Shah, ECE, 3, A
ECE-24-076, Jatin Das, ECE, 4, B
ECE-24-077, Qasim Nair, ECE, 1, A
ECE-24-078, Meera Reddy, ECE, 2, B
ECE-24-079, Zara Menon, ECE, 3, A
ECE-24-080, Priya Khan, ECE, 4, B
ECE-24-081, Qasim Patel, ECE, 1, A
ECE-24-082, Lalit Kumar, ECE, 2, B
ECE-24-083, Vidya Prasad, ECE, 3, A
ECE-24-084, Priya Menon, ECE, 4, B
ECE-24-085, Zara Menon, ECE, 1, A
ECE-24-086, Riya Singh, ECE, 2, B
ECE-24-087, Om Reddy, ECE, 3, A
ECE-24-088, Qasim Bose, ECE, 4, B
ECE-24-089, Uday Rao, ECE, 1, A
ECE-24-090, Bilal Khan, ECE, 2, B
ECE-24-091, Xena Rao, ECE, 3, A
ECE-24-092, Asha Reddy, ECE, 4, B
ECE-24-093, Bilal Singh, ECE, 1, A
ECE-24-094, Qasim Rao, ECE, 2, B
ECE-24-095, Kavya Das, ECE, 3, A
ECE-24-096, Isha Menon, ECE, 4, B
ECE-24-097, Tara Gupta, ECE, 1, A
ECE-24-098, Bilal Joshi, ECE, 2, B
ECE-24-099, Priya Bose, ECE, 3, A
ECE-24-100, Priya Verma, ECE, 4, B
ECE-24-101, Priya Verma, ECE, 1, A
ECE-24-102, Priya Menon, ECE, 2, B
ECE-24-103, Divya Singh, ECE, 3, A
ECE-24-104, Tara Ali, ECE, 4, B
ECE-24-105, Yash Pillai, ECE, 1, A
ECE-24-106, Lalit Kumar, ECE, 2, B
ECE-24-107, Isha Gupta, ECE, 3, A
ECE-24-108, Zara Bose, ECE, 4, B
ECE-24-109, Sahil Nair, ECE, 1, A
ECE-24-110, Xena Reddy, ECE, 2, B
ECE-24-111, Xena Kapoor, ECE, 3, A
ECE-24-112, Divya Nair, ECE, 4, B
ECE-24-113, Zara Reddy, ECE, 1, A
ECE-24-114, Zara Rao, ECE, 2, B
ECE-24-115, Qasim Joshi, ECE, 3, A
ECE-24-116, Zara Ali, ECE, 4, B
ECE-24-117, Zara Kapoor, ECE, 1, A
ECE-24-118, Yash Nair, ECE, 2, B
ECE-24-119, Nikhil Prasad, ECE, 3, A
ECE-24-120, Farhan Ali, ECE, 4, B
ECE-24-121, Yash Joshi, ECE, 1, A
ECE-24-122, Isha Reddy, ECE, 2, B
ECE-24-123, Jatin Verma, ECE, 3, A
ECE-24-124, Esha Kumar, ECE, 4, B
ECE-24-125, Xena Gupta, ECE, 1, A
ECE-24-126, Om Bose, ECE, 2, B
ECE-24-127, Priya Bose, ECE, 3, A
ECE-24-128, Lalit Joshi, ECE, 4, B
ECE-24-129, Lalit Kumar, ECE, 1, A
ECE-24-130, Riya Joshi, ECE, 2, B
ECE-24-131, Kavya Menon, ECE, 3, A
ECE-24-132, Asha Singh, ECE, 4, B
ECE-24-133, Jatin Nair, ECE, 1, A
ECE-24-134, Asha Iyer, ECE, 2, B
ECE-24-135, Qasim Ali, ECE, 3, A
ECE-24-136, Bilal Shah, ECE, 4, B
ECE-24-137, Sahil Iyer, ECE, 1, A
ECE-24-138, Sahil Kapoor, ECE, 2, B
ECE-24-139, Hari Joshi, ECE, 3, A
ECE-24-140, Isha Nair, ECE, 4, B
ECE-24-141, Qasim Shah, ECE, 1, A
ECE-24-142, Vidya Khan, ECE, 2, B
ECE-24-143, Farhan Nair, ECE, 3, A
ECE-24-144, Xena Bose, ECE, 4, B
ECE-24-145, Yash Shah, ECE, 1, A
ECE-24-146, Esha Gupta, ECE, 2, B
ECE-24-147, Priya Patel, ECE, 3, A
ECE-24-148, Yash Verma, ECE, 4, B
ECE-24-149, Jatin Menon, ECE, 1, A
ECE-24-150, Xena Kumar, ECE, 2, B
ECE-24-151, Esha Rao, ECE, 3, A
ECE-24-152, Waseem Khan, ECE, 4, B
ECE-24-153, Nikhil Reddy, ECE, 1, A
ECE-24-154, Priya Sharma, ECE, 2, B
ECE-24-155, Nikhil Gupta, ECE, 3, A
ECE-24-156, Nikhil Pillai, ECE, 4, B
ECE-24-157, Waseem Khan, ECE, 1, A
ECE-24-158, Farhan Pillai, ECE, 2, B
ECE-24-159, Kavya Singh, ECE, 3, A
ECE-24-160, Nikhil Verma, ECE, 4, B
ECE-24-161, Isha Prasad, ECE, 1, A
ECE-24-162, Isha Joshi, ECE, 2, B
ECE-24-163, Waseem Bose, ECE, 3, A
ECE-24-164, Gita Kumar, ECE, 4, B
ECE-24-165, Meera Reddy, ECE, 1, A
ECE-24-166, Sahil Kumar, ECE, 2, B
ECE-24-167, Kavya Sharma, ECE, 3, A
ECE-24-168, Farhan Verma, ECE, 4, B
ECE-24-169, Bilal Menon, ECE, 1, A
ECE-24-170, Bilal Iyer, ECE, 2, B
ECE-24-171, Isha Patel, ECE, 3, A
ECE-24-172, Nikhil Shah, ECE, 4, B
ECE-24-173, Jatin Sharma, ECE, 1, A
ECE-24-174, Sahil Verma, ECE, 2, B
ECE-24-175, Jatin Singh, ECE, 3, A
ECE-24-176, Hari Kumar, ECE, 4, B
ECE-24-177, Gita Iyer, ECE, 1, A
ECE-24-178, Vidya Prasad, ECE, 2, B
ECE-24-179, Divya Pillai, ECE, 3, A
ECE-24-180, Bilal Patel, ECE, 4, B
ECE-24-181, Om Khan, ECE, 1, A
ECE-24-182, Qasim Bose, ECE, 2, B
ECE-24-183, Esha Das, ECE, 3, A
ECE-24-184, Farhan Sharma, ECE, 4, B
ECE-24-185, Lalit Verma, ECE, 1, A
ECE-24-186, Asha Prasad, ECE, 2, B
ECE-24-187, Bilal Prasad, ECE, 3, A
ECE-24-188, Meera Verma, ECE, 4, B
ECE-24-189, Asha Sharma, ECE, 1, A
ECE-24-190, Tara Kapoor, ECE, 2, B
ECE-24-191, Divya Menon, ECE, 3, A
ECE-24-192, Riya Patel, ECE, 4, B
ECE-24-193, Zara Bose, ECE, 1, A
ECE-24-194, Xena Kapoor, ECE, 2, B
ECE-24-195, Sahil Reddy, ECE, 3, A
ECE-24-196, Vidya Kapoor, ECE, 4, B
ECE-24-197, Asha Das, ECE, 1, A
ECE-24-198, Xena Pillai, ECE, 2, B
ECE-24-199, Farhan Iyer, ECE, 3, A
ECE-24-200, Asha Sharma, ECE, 4, B
24MECH001, Riya Joshi, MECH, 1, A
24MECH002, Chetan Joshi, MECH, 2, B
24MECH003, Riya Patel, MECH, 3, A
24MECH004, Asha Das, MECH, 4, B
24MECH005, Farhan Reddy, MECH, 1, A
24MECH006, Jatin Khan, MECH, 2, B
24MECH007, Hari Pillai, MECH, 3, A
24MECH008, Zara Kumar, MECH, 4, B
24MECH009, Farhan Rao, MECH, 1, A
24MECH010, Vidya Rao, MECH, 2, B
24MECH011, Yash Nair, MECH, 3, A
24MECH012, Yash Pillai, MECH, 4, B
24MECH013, Tara Iyer, MECH, 1, A
24MECH014, Jatin Ali, MECH, 2, B
24MECH015, Bilal Joshi, MECH, 3, A
24MECH016, Om Joshi, MECH, 4, B
24MECH017, Riya Kumar, MECH, 1, A
24MECH018, Bilal Bose, MECH, 2, B
24MECH019, Riya Joshi, MECH, 3, A
24MECH020, Kavya Das, MECH, 4, B
24MECH021, Farhan Verma, MECH, 1, A
24MECH022, Chetan Pillai, MECH, 2, B
24MECH023, Farhan Kapoor, MECH, 3, A
24MECH024, Priya Joshi, MECH, 4, B
24MECH025, Om Verma, MECH, 1, A
24MECH026, Kavya Prasad, MECH, 2, B
24MECH027, Lalit Singh, MECH, 3, A
24MECH028, Chetan Joshi, MECH, 4, B
24MECH029, Qasim Joshi, MECH, 1, A
24MECH030, Waseem Bose, MECH, 2, B
24MECH031, Meera Patel, MECH, 3, A
24MECH032, Divya Shah, MECH, 4, B
24MECH033, Qasim Verma, MECH, 1, A
24MECH034, Farhan Sharma, MECH, 2, B
24MECH035, Xena Verma, MECH, 3, A
24MECH036, Yash Pillai, MECH, 4, B
24MECH037, Chetan Shah, MECH, 1, A
24MECH038, Waseem Ali, MECH, 2, B
24MECH039, Meera Patel, MECH, 3, A
24MECH040, Isha Singh, MECH, 4, B
24MECH041, Jatin Sharma, MECH, 1, A
24MECH042, Bilal Pillai, MECH, 2, B
24MECH043, Tara Shah, MECH, 3, A
24MECH044, Hari Ali, MECH, 4, B
24MECH045, Jatin Ali, MECH, 1, A
24MECH046, Farhan Rao, MECH, 2, B
24MECH047, Sahil Menon, MECH, 3, A
24MECH048, Gita Rao, MECH, 4, B
24MECH049, Uday Khan, MECH, 1, A
24MECH050, Tara Reddy, MECH, 2, B
24MECH051, Lalit Nair, MECH, 3, A
24MECH052, Qasim Kumar, MECH, 4, B
24MECH053, Hari Patel, MECH, 1, A
24MECH054, Waseem Singh, MECH, 2, B
24MECH055, Riya Shah, MECH, 3, A
24MECH056, Jatin Kumar, MECH, 4, B
24MECH057, Zara Ali, MECH, 1, A
24MECH058, Kavya Verma, MECH, 2, B
24MECH059, Hari Gupta, MECH, 3, A
24MECH060, Jatin Menon, MECH, 4, B
24MECH061, Qasim Patel, MECH, 1, A
24MECH062, Om Sharma, MECH, 2, B
24MECH063, Waseem Pillai, MECH, 3, A
24MECH064, Priya Reddy, MECH, 4, B
24MECH065, Kavya Bose, MECH, 1, A
24MECH066, Gita Khan, MECH, 2, B
24MECH067, Priya Rao, MECH, 3, A
24MECH068, Divya Singh, MECH, 4, B
24MECH069, Esha Kapoor, MECH, 1, A
24MECH070, Esha Prasad, MECH, 2, B
24MECH071, Zara Shah, MECH, 3, A
24MECH072, Sahil Bose, MECH, 4, B
24MECH073, Vidya Ali, MECH, 1, A
24MECH074, Vidya Prasad, MECH, 2, B
24MECH075, Gita Khan, MECH, 3, A
24MECH076, Sahil Patel, MECH, 4, B
24MECH077, Xena Shah, MECH, 1, A
24MECH078, Gita Joshi, MECH, 2, B
24MECH079, Qasim Ali, MECH, 3, A
24MECH080, Xena Patel, MECH, 4, B
24MECH081, Qasim Joshi, MECH, 1, A
24MECH082, Nikhil Pillai, MECH, 2, B
24MECH083, Kavya Sharma, MECH, 3, A
24MECH084, Vidya Khan, MECH, 4, B
24MECH085, Waseem Singh, MECH, 1, A
24MECH086, Vidya Kapoor, MECH, 2, B
24MECH087, Divya Das, MECH, 3, A
24MECH088, Kavya Kumar, MECH, 4, B
24MECH089, Waseem Verma, MECH, 1, A
24MECH090, Jatin Reddy, MECH, 2, B
24MECH091, Bilal Ali, MECH, 3, A
24MECH092, Zara Sharma, MECH, 4, B
24MECH093, Om Reddy, MECH, 1, A
24MECH094, Farhan Khan, MECH, 2, B
24MECH095, Waseem Ali, MECH, 3, A
24MECH096, Hari Sharma, MECH, 4, B
24MECH097, Riya Kapoor, MECH, 1, A
24MECH098, Hari Kapoor, MECH, 2, B
24MECH099, Farhan Bose, MECH, 3, A
24MECH100, Zara Joshi, MECH, 4, B
24MECH101, Kavya Patel, MECH, 1, A
24MECH102, Esha Kumar, MECH, 2, B
24MECH103, Lalit Kumar, MECH, 3, A
24MECH104, Jatin Shah, MECH, 4, B
24MECH105, Meera Shah, MECH, 1, A
24MECH106, Riya Kapoor, MECH, 2, B
24MECH107, Riya Das, MECH, 3, A
24MECH108, Qasim Iyer, MECH, 4, B
24MECH109, Isha Menon, MECH, 1, A
24MECH110, Waseem Khan, MECH, 2, B
24MECH111, Nikhil Patel, MECH, 3, A
24MECH112, Hari Rao, MECH, 4, B
24MECH113, Meera Khan, MECH, 1, A
24MECH114, Uday Shah, MECH, 2, B
24MECH115, Gita Joshi, MECH, 3, A
24MECH116, Om Reddy, MECH, 4, B
24MECH117, Vidya Sharma, MECH, 1, A
24MECH118, Esha Rao, MECH, 2, B
24MECH119, Vidya Patel, MECH, 3, A
24MECH120, Nikhil Khan, MECH, 4, B
24MECH121, Hari Kapoor, MECH, 1, A
24MECH122, Uday Shah, MECH, 2, B
24MECH123, Divya Ali, MECH, 3, A
24MECH124, Qasim Singh, MECH, 4, B
24MECH125, Tara Sharma, MECH, 1, A
24MECH126, Meera Bose, MECH, 2, B
24MECH127, Xena Singh, MECH, 3, A
24MECH128, Waseem Prasad, MECH, 4, B
24MECH129, Farhan Khan, MECH, 1, A
24MECH130, Nikhil Joshi, MECH, 2, B
24MECH131, Hari Sharma, MECH, 3, A
24MECH132, Zara Singh, MECH, 4, B
24MECH133, Zara Kapoor, MECH, 1, A
24MECH134, Uday Khan, MECH, 2, B
24MECH135, Hari Reddy, MECH, 3, A
24MECH136, Qasim Sharma, MECH, 4, B
24MECH137, Tara Singh, MECH, 1, A
24MECH138, Vidya Sharma, MECH, 2, B
24MECH139, Uday Bose, MECH, 3, A
24MECH140, Priya Pillai, MECH, 4, B
24MECH141, Jatin Kumar, MECH, 1, A
24MECH142, Bilal Prasad, MECH, 2, B
24MECH143, Farhan Singh, MECH, 3, A
24MECH144, Farhan Gupta, MECH, 4, B
24MECH145, Farhan Patel, MECH, 1, A
24MECH146, Hari Rao, MECH, 2, B
24MECH147, Divya Menon, MECH, 3, A
24MECH148, Yash Sharma, MECH, 4, B
24MECH149, Isha Nair, MECH, 1, A
24MECH150, Xena Singh, MECH, 2, B
24MECH151, Farhan Nair, MECH, 3, A
24MECH152, Esha Kumar, MECH, 4, B
24MECH153, Xena Singh, MECH, 1, A
24MECH154, Uday Das, MECH, 2, B
24MECH155, Sahil Singh, MECH, 3, A
24MECH156, Gita Ali, MECH, 4, B
24MECH157, Kavya Kapoor, MECH, 1, A
24MECH158, Yash Menon, MECH, 2, B
24MECH159, Om Das, MECH, 3, A
24MECH160, Isha Pillai, MECH, 4, B
24MECH161, Yash Singh, MECH, 1, A
24MECH162, Esha Menon, MECH, 2, B
24MECH163, Nikhil Bose, MECH, 3, A
24MECH164, Kavya Das, MECH, 4, B
24MECH165, Bilal Rao, MECH, 1, A
24MECH166, Qasim Prasad, MECH, 2, B
24MECH167, Divya Joshi, MECH, 3, A
24MECH168, Waseem Kapoor, MECH, 4, B
24MECH169, Bilal Rao, MECH, 1, A
24MECH170, Farhan Kapoor, MECH, 2, B
24MECH171, Yash Bose, MECH, 3, A
24MECH172, Kavya Shah, MECH, 4, B
24MECH173, Isha Reddy, MECH, 1, A
24MECH174, Farhan Ali, MECH, 2, B
24MECH175, Riya Shah, MECH, 3, A
24MECH176, Meera Sharma, MECH, 4, B
24MECH177, Nikhil Khan, MECH, 1, A
24MECH178, Xena Reddy, MECH, 2, B
24MECH179, Qasim Iyer, MECH, 3, A
24MECH180, Divya Reddy, MECH, 4, B
24MECH181, Zara Nair, MECH, 1, A
24MECH182, Gita Kapoor, MECH, 2, B
24MECH183, Meera Verma, MECH, 3, A
24MECH184, Isha Reddy, MECH, 4, B
24MECH185, Lalit Khan, MECH, 1, A
24MECH186, Meera Singh, MECH, 2, B
24MECH187, Divya Rao, MECH, 3, A
24MECH188, Hari Kapoor, MECH, 4, B
24MECH189, Lalit Pillai, MECH, 1, A
24MECH190, Waseem Joshi, MECH, 2, B
24MECH191, Kavya Joshi, MECH, 3, A
24MECH192, Farhan Pillai, MECH, 4, B
24MECH193, Farhan Gupta, MECH, 1, A
