CSE24001, Priya Verma, CSE, 1, A
24MECH001, Vidya Joshi, MECH, 1, A
24MECH002, Vidya Bose, MECH, 1, A
24MECH003, Priya Prasad, MECH, 1, A
24MECH004, Lalit Bose, MECH, 1, A
24MECH005, Riya Nair, MECH, 1, A
24MECH006, Yash Joshi, MECH, 1, A
24MECH007, Isha Das, MECH, 1, A
24MECH008, Divya Prasad, MECH, 1, A
24MECH009, Asha Khan, MECH, 1, A
24MECH010, Qasim Singh, MECH, 1, A
24MECH011, Yash Bose, MECH, 1, A
24MECH012, Meera Singh, MECH, 1, A
24MECH013, Divya Ali, MECH, 1, A
24MECH014, Divya Rao, MECH, 1, A
24MECH015, Hari Verma, MECH, 1, A
24MECH016, Om Singh, MECH, 1, A
24MECH017, Uday Patel, MECH, 1, A
24MECH018, Farhan Gupta, MECH, 1, A
24MECH019, Nikhil Verma, MECH, 1, A
24MECH020, Meera Shah, MECH, 1, A
24MECH021, Lalit Nair, MECH, 1, A
24MECH022, Hari Iyer, MECH, 1, A
24MECH023, Nikhil Ali, MECH, 1, A
24MECH024, Nikhil Reddy, MECH, 1, A
24MECH025, Qasim Verma, MECH, 1, A
24MECH026, Divya Rao, MECH, 1, A
24MECH027, Divya Pillai, MECH, 1, A
24MECH028, Bilal Bose, MECH, 1, A
24MECH029, Lalit Reddy, MECH, 1, A
24MECH030, Chetan Das, MECH, 1, A
24MECH031, Bilal Prasad, MECH, 1, A
24MECH032, Farhan Singh, MECH, 1, A
24MECH033, Om Khan, MECH, 1, A
24MECH034, Zara Patel, MECH, 1, A
24MECH035, Riya Patel, MECH, 1, A
24MECH036, Om Das, MECH, 1, A
24MECH037, Nikhil Menon, MECH, 1, A
24MECH038, Chetan Khan, MECH, 1, A
24MECH039, Bilal Ali, MECH, 1, A
24MECH040, Riya Gupta, MECH, 1, A
24MECH041, Om Sharma, MECH, 1, A
24MECH042, Asha Prasad, MECH, 1, A
24MECH043, Isha Ali, MECH, 1, A
24MECH044, Vidya Reddy, MECH, 1, A
24MECH045, Farhan Pillai, MECH, 1, A
24MECH046, Yash Ali, MECH, 1, A
24MECH047, Nikhil Bose, MECH, 1, A
24MECH048, Yash Gupta, MECH, 1, A
24MECH049, Om Das, MECH, 1, A
24MECH050, Isha Shah, MECH, 1, A
